,Series_reference,Period,Data_value,Suppressed,STATUS,UNITS,Magnitude,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5,zeros,zeros+1
14734,BDCQ.SEE1035A,2024,11976.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14735,BDCQ.SEE1035A,2025,12084.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,South Taranaki District,Actual,,,0,0
14736,BDCQ.SEE1036A,2011,4981.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14737,BDCQ.SEE1036A,2011,5141.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14738,BDCQ.SEE1036A,2011,5100.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14739,BDCQ.SEE1036A,2012,4925.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14740,BDCQ.SEE1036A,2012,4887.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14741,BDCQ.SEE1036A,2012,5047.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14742,BDCQ.SEE1036A,2012,5045.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14743,BDCQ.SEE1036A,2013,4850.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14744,BDCQ.SEE1036A,2013,4866.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14745,BDCQ.SEE1036A,2013,5114.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14746,BDCQ.SEE1036A,2013,5110.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14747,BDCQ.SEE1036A,2014,4997.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14748,BDCQ.SEE1036A,2014,4998.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14749,BDCQ.SEE1036A,2014,5185.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14750,BDCQ.SEE1036A,2014,5180.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14751,BDCQ.SEE1036A,2015,5046.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14752,BDCQ.SEE1036A,2015,5021.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14753,BDCQ.SEE1036A,2015,5136.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14754,BDCQ.SEE1036A,2015,5177.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14755,BDCQ.SEE1036A,2016,5058.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14756,BDCQ.SEE1036A,2016,5068.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14757,BDCQ.SEE1036A,2016,5142.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14758,BDCQ.SEE1036A,2016,5217.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14759,BDCQ.SEE1036A,2017,5151.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14760,BDCQ.SEE1036A,2017,5137.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14761,BDCQ.SEE1036A,2017,5281.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14762,BDCQ.SEE1036A,2017,5307.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
14763,BDCQ.SEE1036A,2018,5200.0,,F,Number,0,Business Data Collection - BDC,Territorial authority by employment variable,Filled jobs,Ruapehu District,Actual,,,0,0
